asn,org_name
1,"Level 3 Parent, LLC"
2,University of Delaware
3,Massachusetts Institute of Technology
4,University of Southern California
5,WFA Group LLC
6,"ATOS IT Solutions and Services, Inc."
7,The Defence Science and Technology Laboratory
8,Rice University
9,Carnegie Mellon University
10,CSNET Coordination and Information Center (CSNET-CIC)
11,Harvard University
12,New York University
13,"Headquarters, USAISC"
14,Columbia University
15,DYNAMICS
16,Lawrence Berkeley National Laboratory
17,Purdue University
18,University of Texas at Austin
19,"Leidos, Inc."
20,University of Rochester
21,The RAND Corporation
22,Navy Network Information Center (NNIC)
23,National Aeronautics and Space Administration
24,National Aeronautics and Space Administration
25,University of California at Berkeley
26,Cornell University
27,University of Maryland
28,Deutsches Zentrum fuer Luft- und Raumfahrt e.V.
29,Yale University
30,SRI International
31,California Institute of Technology
32,Stanford University
33,HP Inc.
34,University of Delaware
35,The MITRE Corporation
36,SRI International
37,Navy Network Information Center (NNIC)
38,University of Illinois
39,DoD Network Information Center
40,Massachusetts Institute of Technology
41,National Aeronautics and Space Administration
42,"WoodyNet, Inc."
43,Brookhaven National Laboratory
44,Lawrence Livermore National Laboratory
45,Lawrence Livermore National Laboratory
46,"Rutgers, The State University"
47,University of Southern California
48,Navy Network Information Center (NNIC)
49,National Institute of Standards and Technology
50,Oak Ridge National Laboratory
51,"Headquarters, USAISC"
52,"University of California, Los Angeles"
53,Northrop Grumman Corporation - Automation Sciences Laboratory
54,"Headquarters, USAISC"
55,University of Pennsylvania
56,DoD Network Information Center
57,University of Minnesota
58,Shared Services Canada
59,University of Wisconsin Madison
60,"Advanced Information Technology Services, LLC"
61,Air Force Systems Networking
62,CyrusOne LLC
63,Massachusetts Institute of Technology
64,The MITRE Corporation
65,Air Force Systems Networking
66,"Headquarters, USAISC"
67,Unisys Corporation
68,Los Alamos National Laboratory
69,University of Pennsylvania
70,National Library of Medicine
71,HP Inc.
72,Schlumberger Limited
73,University of Washington
74,Shared Services Canada
75,Argonne National Laboratory
76,Unisys Corporation
77,Johns Hopkins University Applied Physics Laboratory
78,"BT Americas, Inc"
79,Los Alamos National Laboratory
80,General Electric Company
81,MCNC
82,Attachmate Corp.
83,"Headquarters, USAISC"
84,Navy Network Information Center (NNIC)
85,The Aerospace Corporation
86,DXC US Latin America Corporation
87,Indiana University
88,Princeton University
89,Navy Network Information Center (NNIC)
90,Oracle Corporation
91,Rensselaer Polytechnic Institute
92,Clarkson University
